初始文件名,最终文件名,嵌入字符串,编码模式,编码长度
（pid=39578544）背景!!_p67_cropped_at_500.bmp,（pid=39578544）背景!!_p67_cropped_at_500_output_2023-07-01-19-12-27.bmp,e,ascii,1
（pid=39578544）背景!!_p68_cropped_at_500.bmp,（pid=39578544）背景!!_p68_cropped_at_500_output_2023-07-01-19-12-31.bmp,ti,ascii,2
（pid=39578544）背景!!_p69_cropped_at_500.bmp,（pid=39578544）背景!!_p69_cropped_at_500_output_2023-07-01-19-12-36.bmp,ZMX,ascii,3
（pid=39578544）背景!!_p70_cropped_at_500.bmp,（pid=39578544）背景!!_p70_cropped_at_500_output_2023-07-01-19-12-40.bmp,nSzRT,ascii,5
（pid=39578544）背景!!_p71_cropped_at_500.bmp,（pid=39578544）背景!!_p71_cropped_at_500_output_2023-07-01-19-12-45.bmp,WGwdfJUAEg,ascii,10
（pid=39578544）背景!!_p72_cropped_at_500.bmp,（pid=39578544）背景!!_p72_cropped_at_500_output_2023-07-01-19-12-49.bmp,fJdTVcNrILQLnaRDtsGqiexgY,ascii,25
（pid=39578544）背景!!_p73_cropped_at_500.bmp,（pid=39578544）背景!!_p73_cropped_at_500_output_2023-07-01-19-12-54.bmp,QzRmqAfgDpLVMIeMZtZpYZnjYrRyHeXbVkumQkdAdIdlaqvxbK,ascii,50
（pid=39578544）背景!!_p74_cropped_at_500.bmp,（pid=39578544）背景!!_p74_cropped_at_500_output_2023-07-01-19-12-58.bmp,aQeuYioHxyIeHARFQbGoPrWWtTORCWoCkdgQAJhWnHdqYQinzVQVmvRaweWqcpOCrREogHTGRJMtQzrusJGLjuAWYWJbVNnLXTRV,ascii,100
（pid=39578544）背景!!_p75_cropped_at_500.bmp,（pid=39578544）背景!!_p75_cropped_at_500_output_2023-07-01-19-13-03.bmp,kEhuragPRDzsDIDCClFQafmSkRxDkDsgWAAbDKSqLuWDeDIGbapmripAvEPJCQqfDxVxswHgWSOfKSYgwVoAiXXeNLehyRhxwGgMPejnBFNqMlflOHoGXgfVFIQHDssncwmalbcKEfHquxCPVfwHVzfklcNXOQIUHfkovpzinjPHWcUBnevCMNRLSPdpRqxoAEdDXPtUVnCWeIftTtElJwpYImGEqmkEnPTnBrvrrIjMuqblRDzQvPmyxY,ascii,250
（pid=39578544）背景!!_p76_cropped_at_500.bmp,（pid=39578544）背景!!_p76_cropped_at_500_output_2023-07-01-19-13-07.bmp,PDNhDnACjbDtScoPhQVplVCLyJtlufAOgAAgWdTaOCpAjDnhsBrcbqWSzHqLcTfqniCOsMGLwBftSUpnmJrZPfyhqIGugncPNqGNzmwbzMScsoQWXYhefwsURacGHIuiqrOwLsZDuxNaUwnnJtlUHjhusjexBzFQvkcBJfaphqLfMqdzUbYTwJzwofnikhvKYbnJDdjxJRPRFhsfapcmtgRqqlGneHugMaRRjqBQyKKeuxseTQDBlRdVECIFfxYGclapxBsiefKlSwguSVpKakfMXZTuAeOYnCcYwAPbOTgFyhEMDHytXofXcbTkdZGcdkCAovjkazaoGyeoYraOgUSqjrtiCHtdhMmmyTKnnoqxrBhXMVqiZInqYGooXndoPJJjqSqHYsNiFYSjQzJPtlEVSAnnkJRrltTVRxvuVWIMjgilKDlzXbhxuTmFaaownSOWIKpnPHyYcWyAtoTbBVFNAhbxEskzdIzRhgqTXBZBlbULurum,ascii,500
